data,texto,retweet,idioma,lugar,pais,sigla,latitude,longitude
2020-04-14 22:00:01,Live em dose dupla nesta quarta-feira a partir das 18h. Começarei os trabalhos convidando o amigo @ronnycharlesadv… https://t.co/A99FeuH5li,1,pt,Aracaju,Brazil,BR,-37.0526,-10.9162
2020-03-29 18:47:43,#covid19 #lift #stop @ Curaçao https://t.co/e7p9y3Tl7L,0,pt,Curaçao,Curaçao,CW,-69.0,12.18333333
2020-01-26 00:13:42,"Larp ""Quarentena 64"", Sesc Taubaté, 2019. #larp #larpbrasil #larpquarentena64 #sesctaubate  #confrariadasideias… https://t.co/bPLssIg9mE",2,pt,Taubaté,Brazil,BR,-45.5679855,-23.00484244
2020-03-18 13:52:21,"Diante da pandemia que vivenciamos com o COVID-19, reforço com todos vocês o cuidado detalhado que devemos ter com… https://t.co/tNu8EIdy60",0,pt,Estrela de Alagoas,Brazil,BR,-36.7586,-9.385
2020-03-30 21:24:18,"Isolamento Social - verde total em Pedro Do Rio, Rio De Janeiro, Brazil https://t.co/tQ4el6XC7a",0,pt,Petrópolis,Brazil,BR,-43.1342,-22.3317
2020-04-04 17:30:31,"Para combater à fake news, a Secretaria Estadual de Saúde disponibilizou um canal para tirar dúvidas da população s… https://t.co/sQYSpt6FuB",0,pt,Nilópolis,Brazil,BR,-43.4127074,-22.8134245
2020-05-30 17:13:00,"[Vitrine Virtual @Dadynha ] Divulgação voluntária durante a pandemia do Covid-19: com fé, confiança e empatia vence… https://t.co/mQKhbG7wjw",0,pt,Maranguape,Brazil,BR,-38.6839,-3.8935
2020-04-03 00:32:01,Boa Noite Galera Estamos em Off Works em  LockDown Quarantaine nos Shows Eventos devido situação pandemia. Porem es… https://t.co/zuwSgCsKTS,0,pt,Sao Paulo,Brazil,BR,-46.6333,-23.55
2020-05-21 16:11:34,"Lançada na terça-feira (19), a nova campanha do Ministério Público intitulada como “TodaVidaVale busca conscientiza… https://t.co/PYovflq7dE",0,pt,Maceió,Brazil,BR,-35.7248,-9.6232
2020-05-23 21:42:57,Como não passei vergonha suficiente em 2018 com a publicidade da #telesena... deixo para passar agora na Pandemia d… https://t.co/jKJy6QCp2P,0,pt,Milan,Italy,IT,9.1897,45.4643
2020-05-23 21:04:38,Mãe de criança falecida alega que ela não teve acompanhamento pediátrico devido as restrições devido ao foco na Cov… https://t.co/grWliEBE6N,0,pt,Bom Despacho,Brazil,BR,-45.252,-19.73678
2020-04-08 21:48:44,"Boa noite! O dia foi tão complicado e amanhã promete ser mais complicado ainda!! Mas vamos lá, nunca fui contra a i… https://t.co/jfl6QdvmB1",0,pt,Rio de Janeiro,Brazil,BR,-43.1975,-22.908
2020-04-07 17:59:58,"#lockdown #latestpic @ Delhi, India https://t.co/JURTZjV7Qo",0,pt,New Delhi,India,IN,77.219672,28.631747
2020-03-24 22:45:47,"Essa pandemia servirá para unir as famílias, os casais conversarão sobre assuntos dos mais comuns,  porém, tão impo… https://t.co/bBH8KgU9Xd",0,pt,Caxias do Sul,Brazil,BR,-51.1833,-29.1667
2020-03-18 13:16:25,"Momento é de oração pelo Brasil, pelo mundo e, isolamento social, fique em casa e se sair tome todas as precauções… https://t.co/uwWB38g1Oj",0,pt,Brasília,Brazil,BR,-47.9,-15.8
2020-03-20 10:54:32,A Bahia já apresenta casos de pessoas com a COVID-19 a partir do contágio comunitário. O distanciamento social é um… https://t.co/HZFaGmqk0Q,0,pt,Salvador,Brazil,BR,-38.4767,-12.9747
